"measureKey";"measureName";"systemName";"entityName";"entityType";"entityId";"value"
"storageReplicationLevel";"Storage Replication level";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"n/a"
"configurationExternalization";"Configuration externalization";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"numberOfLinksWithRetryLogic";"Number of Links with retry logic";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"numberOfLinksWithComplexFailover";"Number of Links with Complex Failover";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"serviceMeshUsage";"Service Mesh Usage";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"0"
"totalServiceInterfaceCohesion";"Total Service Interface Cohesion";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"1.8333333333333333"
"serviceSize";"Size of a service";"teastore-private-nlb-noreplication-model";"Imageprovider";"component";"98f4cbea-51e8-4a43-96c0-d51e45966c32";"2"
"ratioOfEndpointsSupportingSsl";"Ratio of endpoints that support SSL";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"ratioOfExternalEndpointsSupportingTls";"Ratio of external endpoints that support TLS";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"secretsExternalization";"Secrets Externalization";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"serviceInterfaceDataCohesion";"Service Interface Data Cohesion";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"cohesionBetweenEndpointsBasedOnDataAggregateUsage";"Cohesion between Endpoints based on data aggregate usage";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"resourceCount";"Data Aggregate Count";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfProvidedSynchronousAndAsynchronousEndpoints";"Number of provided synchronous and asynchronous endpoints";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfSynchronousEndpointsOfferedByAService";"Number of synchronous endpoints offered by a service";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"serviceInterfaceUsageCohesion";"Service Interface Usage Cohesion";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"unusedEndpointCount";"Unused Endpoint Count";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfReadEndpointsProvidedByAService";"Number of Read Endpoints provided by a service";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfWriteEndpointsProvidedByAService";"Number of Write Endpoints provided by a service";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"ratioOfStateDependencyOfEndpoints";"Ratio of state dependency of endpoints";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"suitablyReplicatedStatefulService";"Ratio of suitably replicated stateful services";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"n/a"
"numberOfAsynchronousEndpointsOfferedByAService";"Number of asynchronous endpoints offered by a service";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfSynchronousOutgoingLinks";"Number of synchronous outgoing links";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfAsynchronousOutgoingLinks";"Number of asynchronous outgoing links";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"ratioOfAsynchronousOutgoingLinks";"Ratio of asynchronous outgoing links";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"ratioOfNonCustomBackingServices";"Ratio of non-custom backing services";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfLinksPerComponent";"Number of Links per Component ";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"numberOfConsumedEndpoints";"Number of Consumed Endpoints";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"incomingOutgoingRatioOfAComponent";"Incoming outgoing ratio of a component";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"ratioOfOutgoingLinksOfAService";"Ratio of outgoing links of a service";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
"serviceCouplingBasedOnEndpointEntropy";"Service Coupling based on Endpoint Entropy";"teastore-private-nlb-noreplication-model";"Network Load Balancer";"component";"79c99d47-a536-4169-b1a8-9d7a4613c742";"0"
